index,split,X,Y,Ranking Regional,Largo_km_log1p,duracion_min,hora_central,hora_sin,hora_cos,Comuna_Cerrillos,Comuna_Colina,Comuna_Conchalí,Comuna_El Bosque,Comuna_Estación Central,Comuna_Huechuraba,Comuna_Independencia,Comuna_La Cisterna,Comuna_La Florida,Comuna_La Granja,Comuna_La Pintana,Comuna_La Reina,Comuna_Lampa,Comuna_Las Condes,Comuna_Lo Barnechea,Comuna_Macul,Comuna_Maipú,Comuna_Melipilla,Comuna_Paine,Comuna_Peñaflor,Comuna_Peñalolén,Comuna_Providencia,Comuna_Pudahuel,Comuna_Puente Alto,Comuna_Quilicura,Comuna_Quinta Normal,Comuna_Recoleta,Comuna_Renca,Comuna_San Bernardo,Comuna_San Miguel,Comuna_San Ramón,Comuna_Santiago,Comuna_Vitacura,Comuna___RARE__,Comuna_Ñuñoa,peak_Valle
2885,train,0.6204039245925745,0.5447520713977821,-1.430202673787696,1.521814193474982,0.08267330575830265,0.3012171140580606,-0.6222980056272723,-0.7272995756140337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1680,train,-0.4645200437907532,0.20508072937943078,-1.1567437213485308,0.6299345163618628,0.333111244510821,1.06356147370264,-1.029695718300109,1.0580068726616056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2338,train,0.7862218608586221,0.041516566612203244,-1.8226206764286461,2.5854188907829547,6.594059713323787,0.6100148293571316,-0.8914409152427919,-0.08605611992581798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3133,train,1.0961163756670127,0.579755903491492,1.559928514000383,-0.8652135281685658,-0.5885003700984474,-1.4357700344992104,1.4692140985207396,0.14428564656760998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3452,train,-0.835199672727804,-0.27121354630302297,0.38282136910247266,-0.5015491906760102,-0.4182025717467347,1.1311109739243128,-1.0216388941742605,1.2336198510617598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3251,train,0.2856517895170891,0.19877086599617394,-0.048662198172644035,-0.1526163276651405,-0.4182025717467347,0.8609129730376252,-1.0087828603705022,0.531752350833928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
261,train,-2.5432797121871658,-1.9653680883607074,0.7197251483159232,-0.5777603035165744,-0.5083602296976414,1.102161188115025,-1.0260105158015944,1.158494782244229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1536,train,-2.222542004430732,-2.8757564141965375,-0.17981087944448856,-0.22476961798365339,-0.2579222909451228,0.031019113171373736,-0.29799627449975136,-1.1237911138940453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1755,train,-5.1138219126661575,-2.2184164097381966,-1.6513783893480518,2.209413383886171,0.5835491832633397,0.14681825640852514,-0.4452071519665924,-0.9756927896471873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3181,train,0.5174048745415646,0.1854756604642634,-1.6314050179561472,3.357893175111889,-0.007484352192604165,-1.310320962658963,1.392786751849687,-0.15286106775513944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
